"Monster","Name","Description","Type","Tier","Comp%"
"Dagannoth Rex","A Frozen King","Kill Dagannoth Rex whilst he is immobilized.","Mechanical","Medium (2 pts)","24.7%"
"Dagannoth Supreme","Dagannoth Supreme Champion","Kill Dagannoth Supreme 10 times.","Kill Count","Medium (2 pts)","36.1%"
"Deranged Archaeologist","Deranged Archaeologist Champion","Kill the Deranged Archaeologist 25 times.","Kill Count","Medium (2 pts)","35.2%"
"Deranged Archaeologist","Mage of the Swamp","Kill the Deranged Archaeologist with only magical attacks.","Mechanical","Medium (2 pts)","41.7%"
"Deranged Archaeologist","I'd Rather Be Illiterate","Kill the Deranged Archaeologist without anyone being hit by his ""Learn to Read"" attack.","Perfection","Medium (2 pts)","41.3%"
"Gargoyle","A Smashing Time","Kill a Gargoyle.","Kill Count","Medium (2 pts)","59.2%"
"Giant Mole","Giant Mole Champion","Kill the Giant mole 25 times.","Kill Count","Medium (2 pts)","40.4%"
"Giant Mole","Avoiding Those Little Arms","Kill the Giant Mole without her damaging anyone.","Perfection","Medium (2 pts)","51.8%"
"King Black Dragon","Hide Penetration","Kill the King Black Dragon with a stab weapon.","Restriction","Medium (2 pts)","40.5%"
"King Black Dragon","Claw Clipper","Kill the King Black Dragon with the Protect from Melee prayer activated.","Mechanical","Medium (2 pts)","41.9%"
"King Black Dragon","King Black Dragon Champion","Kill the King Black Dragon 25 times.","Kill Count","Medium (2 pts)","37.4%"
"King Black Dragon","Antifire Protection","Kill the King Black Dragon with an antifire potion active and an antidragon shield equipped.","Restriction","Medium (2 pts)","46.6%"
"Kurask","Master of Broad Weaponry","Kill a Kurask.","Kill Count","Medium (2 pts)","59.6%"
"Mad Angel","Dancing Queen","Kill the Mad Angel after getting 6 consecutive enhanced attacks by dodging the sweep attack successfully during her enrage phase.","Mechanical","Medium (2 pts)","2.5%"
"Mad Angel","Juggling Act","Kill the Mad Angel after attacking her between each bounce of the blast attack during her enrage phase. This does not need to be done immediately prior to the Mad Angel dying; it just needs to be done at any point in the fight after she becomes enraged.","Mechanical","Medium (2 pts)","3.2%"
"Mad Angel","Smite Fight","Kill the Mad Angel after getting 3 consecutive enhanced attacks by successfully praying against the smite attacks during her enrage phase.","Mechanical","Medium (2 pts)","2.9%"
"Mad Angel","Mad Angel Adept","Kill the Mad Angel 25 times.","Kill Count","Medium (2 pts)","5.1%"
"Moons of Peril","Lunar Triplet","Open the Reward Chest after defeating all three Moons.","Kill Count","Medium (2 pts)","59.1%"
"Moons of Peril","Perilous Novice","Open the Reward Chest 5 times.","Kill Count","Medium (2 pts)","50.9%"
"Moons of Peril","Back to Our Roots","Defeat all three Moons in one run by only attacking with a Dragon Scimitar.","Restriction","Medium (2 pts)","34.3%"
"Moons of Peril","Moons of Peril Speed-Trialist","Defeat all three Moons in one run in under 8 minutes.","Speed","Medium (2 pts)","48.5%"
"N/A","Sit Back and Relax","Deal 100 damage to creatures using undead thralls.","Mechanical","Medium (2 pts)","55.4%"
"Obor","Obor Champion","Open Obor's chest 5 times.","Kill Count","Medium (2 pts)","31%"
"Obor","Back to the Wall","Kill Obor without being pushed back more than one square by his knockback attack.","Mechanical","Medium (2 pts)","42.2%"
"Obor","Squashing the Giant","Kill Obor without taking any damage off prayer.","Perfection","Medium (2 pts)","33.3%"
"Royal Titans","It takes too long","Kill both Royal Titans while they are charging up their area attack. Both titans must die during the same charging phase.","Mechanical","Medium (2 pts)","38.2%"
"Royal Titans","Royal Titan Adept","Kill the Royal Titans 25 times.","Kill Count","Medium (2 pts)","41.4%"
"Royal Titans","Royal Titan Champion","Kill the Royal Titans 10 times.","Kill Count","Medium (2 pts)","45.2%"
"Sarachnis","Sarachnis Champion","Kill Sarachnis 25 times.","Kill Count","Medium (2 pts)","36.6%"
"Sarachnis","Newspaper Enthusiast","Kill Sarachnis with a crush weapon.","Restriction","Medium (2 pts)","44.3%"
"Scurrius","Perfect Scurrius","Kill Scurrius in a private instance without taking damage from the following attacks: Tail Swipe and Falling Bricks. Pray correctly against the following attacks: Flying Fur and Bolts of Electricity.","Perfection","Medium (2 pts)","42%"
"Scurrius","Efficient Pest Control","Kill 6 Giant Rats within Scurrius' lair in 3 seconds.","Mechanical","Medium (2 pts)","34.4%"
"Scurrius","Scurrius Champion","Kill Scurrius 10 times.","Kill Count","Medium (2 pts)","48.1%"
"Shellbane gryphon","Shellbane Speedrunner","Kill the Shellbane Gryphon 10 times within 12:30 minutes of entering the cave.","Speed","Medium (2 pts)","15.8%"
"Shellbane gryphon","Perfect Shellbane","Kill the Shellbane Gryphon without taking damage.","Perfection","Medium (2 pts)","20%"
"Shellbane gryphon","Shellbane Veteran","Kill the Shellbane Gryphon 50 times.","Kill Count","Medium (2 pts)","19.7%"
"Skeletal Wyvern","A Frozen Foe from the Past","Kill a Skeletal Wyvern","Kill Count","Medium (2 pts)","61.9%"
"Skotizo","Skotizo Champion","Kill Skotizo once.","Kill Count","Medium (2 pts)","56.9%"
"Skotizo","Demonic Weakening","Kill Skotizo with no altars active.","Mechanical","Medium (2 pts)","45.3%"
"Skotizo","Demonbane Weaponry","Kill Skotizo with a demonbane weapon equipped.","Restriction","Medium (2 pts)","52.3%"
"Tempoross","Tempoross Champion","Subdue Tempoross 10 times.","Kill Count","Medium (2 pts)","66.5%"
"Tempoross","The Lone Angler","Subdue Tempoross alone without getting hit by any fires, torrents or waves.","Perfection","Medium (2 pts)","44.9%"
"The Hueycoatl","You're a wizard","Kill the Hueycoatl using only earth spells.","Restriction","Medium (2 pts)","23.6%"
"The Hueycoatl","Hueycoatl Champion","Kill the Hueycoatl once.","Kill Count","Medium (2 pts)","41.3%"
"Wintertodt","Can We Fix It?","Subdue the Wintertodt without allowing all 4 braziers to be broken at the same time.","Perfection","Medium (2 pts)","79.4%"
"Wintertodt","Wintertodt Champion","Subdue the Wintertodt 10 times.","Kill Count","Medium (2 pts)","80%"
"Wintertodt","Leaving No One Behind","Subdue the Wintertodt without any of the Pyromancers falling.","Restriction","Medium (2 pts)","74.9%"
"Abyssal Sire","Don't Whip Me","Kill the Abyssal Sire without being hit by any external tentacles.","Mechanical","Hard (3 pts)","31.9%"
"Abyssal Sire","Don't Stop Moving","Kill the Abyssal Sire without taking damage from any miasma pools.","Perfection","Hard (3 pts)","30.4%"
"Abyssal Sire","They Grow Up Too Fast","Kill the Abyssal Sire without letting any Scion mature.","Mechanical","Hard (3 pts)","22.6%"
"Abyssal Sire","Abyssal Adept","Kill the Abyssal Sire 20 times.","Kill Count","Hard (3 pts)","31.3%"
"Amoxliatl","Amoxliatl Adept","Kill Amoxliatl 20 times.","Kill Count","Hard (3 pts)","32.7%"
"Amoxliatl","Totally Shattered","Kill Amoxliatl without any of her unstable ice shattering.","Mechanical","Hard (3 pts)","39.6%"
"Amoxliatl","Nagua Negation","Kill Amoxliatl without taking any damage.","Perfection","Hard (3 pts)","35.4%"
"Amoxliatl","Kemo Makti","Kill Amoxliatl 10 times without leaving her chamber.","Stamina","Hard (3 pts)","30.6%"
"Amoxliatl","Amoxliatl Speed-Trialist","Kill Amoxliatl in less than 1 minute.","Speed","Hard (3 pts)","28%"
"Barrows","Just Like That","Kill Karil using only damage dealt by special attacks.","Restriction","Hard (3 pts)","41%"
"Barrows","Faithless Crypt Run","Kill all six Barrows Brothers and loot the Barrows chest without ever having more than 0 prayer points.","Restriction","Hard (3 pts)","38.2%"
"Brutus","Smarter than a Cow","Kill Brutus without being attacked.","Mechanical","Hard (3 pts)","39.7%"
"Callisto","Callisto Adept","Kill Callisto 10 times.","Kill Count","Hard (3 pts)","29.5%"
"Chaos Elemental","Hoarder","Kill the Chaos Elemental without it unequipping any of your items.","Mechanical","Hard (3 pts)","33.3%"
"Chaos Elemental","The Flincher","Kill the Chaos Elemental without taking any damage from its attacks.","Perfection","Hard (3 pts)","18.8%"
"Chaos Elemental","Chaos Elemental Adept","Kill the Chaos Elemental 10 times.","Kill Count","Hard (3 pts)","23.2%"
"Chaos Fanatic","Chaos Fanatic Adept","Kill the Chaos Fanatic 25 times.","Kill Count","Hard (3 pts)","24.6%"
"Chaos Fanatic","Praying to the Gods","Kill the Chaos Fanatic 10 times without drinking any potion which restores prayer or leaving the Wilderness.","Restriction","Hard (3 pts)","19.6%"
"Commander Zilyana","Commander Zilyana Adept","Kill Commander Zilyana 50 times.","Kill Count","Hard (3 pts)","19.5%"
"Commander Zilyana","Commander Showdown","Finish off Commander Zilyana while all of her bodyguards are dead.","Mechanical","Hard (3 pts)","12.9%"
"Crazy Archaeologist","Crazy Archaeologist Adept","Kill the Crazy Archaeologist 25 times.","Kill Count","Hard (3 pts)","35.8%"
"Dagannoth Prime","Dagannoth Prime Adept","Kill Dagannoth Prime 25 times.","Kill Count","Hard (3 pts)","32.4%"
"Dagannoth Rex","Dagannoth Rex Adept","Kill Dagannoth Rex 25 times.","Kill Count","Hard (3 pts)","47.2%"
"Dagannoth Supreme","Dagannoth Supreme Adept","Kill Dagannoth Supreme 25 times.","Kill Count","Hard (3 pts)","31.8%"
"General Graardor","General Graardor Adept","Kill General Graardor 50 times.","Kill Count","Hard (3 pts)","27.1%"
"General Graardor","General Showdown","Finish off General Graardor whilst all of his bodyguards are dead.","Mechanical","Hard (3 pts)","12.4%"
"General Graardor","Ourg Freezer","Kill General Graardor whilst he is immobilized[sic].","Mechanical","Hard (3 pts)","17.9%"
"Giant Mole","Whack-a-Mole","Kill the Giant Mole within 10 seconds of her resurfacing.","Mechanical","Hard (3 pts)","41.4%"
"Giant Mole","Why Are You Running?","Kill the Giant Mole without her burrowing more than 2 times.","Mechanical","Hard (3 pts)","49.8%"
"Grotesque Guardians","Heal No More","Kill the Grotesque Guardians without letting Dawn receive any healing from her orbs.","Mechanical","Hard (3 pts)","37.7%"
"Grotesque Guardians","Don't Look at the Eclipse","Kill the Grotesque Guardians without taking damage from Dusk's blinding attack.","Mechanical","Hard (3 pts)","37.1%"
"Grotesque Guardians","Static Awareness","Kill the Grotesque Guardians without being hit by any lightning attacks.","Mechanical","Hard (3 pts)","37.2%"
"Grotesque Guardians","Grotesque Guardians Adept","Kill the Grotesque Guardians 25 times.","Kill Count","Hard (3 pts)","32.2%"
"Grotesque Guardians","Prison Break","Kill the Grotesque Guardians without taking damage from Dusk's prison attack.","Mechanical","Hard (3 pts)","37.8%"
"Grotesque Guardians","Granite Footwork","Kill the Grotesque Guardians without taking damage from Dawn's rockfall attack.","Mechanical","Hard (3 pts)","37.5%"
"Hespori","Weed Whacker","Kill all of Hesporis flowers within 5 seconds.","Mechanical","Hard (3 pts)","54%"
"Hespori","Hespori Adept","Kill Hespori 5 times.","Kill Count","Hard (3 pts)","59.3%"
"Hespori","Hesporisn't","Finish off Hespori with a special attack.","Mechanical","Hard (3 pts)","45.1%"
"K'ril Tsutsaroth","K'ril Tsutsaroth Adept","Kill K'ril Tsutsaroth 50 times.","Kill Count","Hard (3 pts)","21.6%"
"K'ril Tsutsaroth","Demonic Showdown","Finish off K'ril Tsutsaroth whilst all of his bodyguards are dead.","Mechanical","Hard (3 pts)","12.1%"
"K'ril Tsutsaroth","Demonbane Weaponry II","Finish off K'ril Tsutsaroth with a demonbane weapon.","Restriction","Hard (3 pts)","35.2%"
"K'ril Tsutsaroth","Yarr No More","Receive kill-credit for K'ril Tsutsaroth without him using his special attack.","Mechanical","Hard (3 pts)","36.9%"
"Kalphite Queen","Chitin Penetrator","Kill the Kalphite Queen while her defence was last lowered by you.","Mechanical","Hard (3 pts)","32.7%"
"Kalphite Queen","Kalphite Queen Adept","Kill the Kalphite Queen 25 times.","Kill Count","Hard (3 pts)","26%"
"King Black Dragon","Who Is the King Now?","Kill The King Black Dragon 10 times in a private instance without leaving the instance.","Stamina","Hard (3 pts)","21.8%"
"Kraken","Kraken Adept","Kill the Kraken 20 times.","Kill Count","Hard (3 pts)","42.4%"
"Kraken","Krakan't Hurt Me","Kill the Kraken 25 times in a private instance without leaving the room.","Stamina","Hard (3 pts)","36.2%"
"Kraken","Unnecessary Optimisation","Kill the Kraken after killing all four tentacles.","Mechanical","Hard (3 pts)","32.8%"
"Kree'arra","Kree'arra Adept","Kill Kree'arra 50 times.","Kill Count","Hard (3 pts)","15.2%"
"Kree'arra","Airborne Showdown","Finish off Kree'arra whilst all of his bodyguards are dead.","Mechanical","Hard (3 pts)","9.7%"
"Mad Angel","Mad Angel Speed-Runner","Kill the Mad Angel 5 times within 10 minutes of entering her arena.","Speed","Hard (3 pts)","2.8%"
"Mad Angel","Mad Angel Veteran","Kill the Mad Angel 50 times.","Kill Count","Hard (3 pts)","4.2%"
"Mad Angel","Perfect Mad Angel","Kill the Mad Angel without taking any avoidable damage.","Perfection","Hard (3 pts)","3%"
"Maggot King","Maggot Squasher","Kill the Maggot King.","Kill Count","Hard (3 pts)","10.2%"
"Moons of Peril","Perilous Champion","Open the Reward Chest 25 times.","Kill Count","Hard (3 pts)","43.2%"
"Moons of Peril","Fat of the Land","Defeat 30 Moons of Peril bosses without leaving the dungeon.","Stamina","Hard (3 pts)","42.1%"
"Moons of Peril","Betrayal","Defeat a Moon using its associated weapon drop.","Restriction","Hard (3 pts)","32.1%"
"Moons of Peril","The Clone Zone","Defeat the Eclipse moon by only attacking its clones.","Mechanical","Hard (3 pts)","37.4%"
"Moons of Peril","Fortified","Defeat a Moon without consuming any supplies.","Restriction","Hard (3 pts)","48.9%"
"Moons of Peril","Perilous Dancer","Defeat all the Moons in one run while only taking damage from regular attacks.","Perfection","Hard (3 pts)","31.1%"
"Moons of Peril","Moons of Peril Speed-Chaser","Defeat all three Moons in one run in under 6 minutes.","Speed","Hard (3 pts)","41.8%"
"Phantom Muspah","Phantom Muspah Adept","Kill the Phantom Muspah.","Kill Count","Hard (3 pts)","32.4%"
"Royal Titans","Titan Killer","Kill the Royal Titans 15 times without anyone leaving the instance. If a player joins the fight, the current streak will be reset to 0. If a player leaves the fight, the task will be failed and a new instance will need to be created.","Stamina","Hard (3 pts)","17.7%"
"Royal Titans","I need room","Kill the Royal Titans while extinguishing all fires and melting all icicles before they dissipate naturally.","Restriction","Hard (3 pts)","37.4%"
"Royal Titans","Perfect Royal Titans","Kill the Royal Titans without getting hit by any avoidable damage. This includes: Melee attacks, Explosions from the ice or fire elemental, Icicle or fire spawn damage, and Ice or fire pulse attacks.","Perfection","Hard (3 pts)","37.6%"
"Royal Titans","Royal Titan Speed-Runner","Kill the Royal Titans in less than 1:30 minutes.","Speed","Hard (3 pts)","28.1%"
"Sarachnis","Inspect Repellent","Kill Sarachnis without her dealing damage to anyone.","Perfection","Hard (3 pts)","41.2%"
"Sarachnis","Ready to Pounce","Kill Sarachnis without her using her range attack twice in a row.","Mechanical","Hard (3 pts)","37.3%"
"Scorpia","I Can't Reach That","Kill Scorpia without taking any damage from her.","Perfection","Hard (3 pts)","24.5%"
"Scorpia","Guardians No More","Kill Scorpia without killing her guardians.","Restriction","Hard (3 pts)","30.2%"
"Scorpia","Scorpia Adept","Kill Scorpia 10 times.","Kill Count","Hard (3 pts)","21.5%"
"Shellbane gryphon","Featherweight Fighter","Kill the Shellbane Gryphon 5 times without leaving the cave, while wearing gear weighing less than 40kg.","Restriction","Hard (3 pts)","14.4%"
"Shellbane gryphon","Shellbane Survivor","Kill the Shellbane Gryphon 25 times without leaving the cave.","Stamina","Hard (3 pts)","14.4%"
"Skotizo","Skotizo Adept","Kill Skotizo 5 times.","Kill Count","Hard (3 pts)","47.7%"
"Tempoross","Why Cook?","Subdue Tempoross, getting rewarded with 10 reward permits from a single Tempoross fight.","Mechanical","Hard (3 pts)","31.2%"
"Tempoross","Dress Like You Mean It","Subdue Tempoross while wearing any variation of the angler outfit.","Restriction","Hard (3 pts)","48.2%"
"The Hueycoatl","I'm your son","Kill the Hueycoatl whilst wearing two pieces of Hueycoatl armour.","Restriction","Hard (3 pts)","13.5%"
"The Hueycoatl","Pillar Lover","Kill the Hueycoatl whilst it is vulnerable.","Mechanical","Hard (3 pts)","33.4%"
"The Hueycoatl","Hueycoatl Adept","Kill the Hueycoatl 10 times.","Kill Count","Hard (3 pts)","36.3%"
"The Nightmare","Nightmare Adept","Kill The Nightmare once.","Kill Count","Hard (3 pts)","18.5%"
"Theatre of Blood: Entry Mode","Theatre of Blood: SM Adept","Complete the Theatre of Blood: Entry Mode 1 time.","Kill Count","Hard (3 pts)","49.1%"
"Tombs of Amascut: Entry Mode","Movin' on up","Complete a Tombs of Amascut raid at level 50 or above.","Restriction","Hard (3 pts)","46.8%"
"Tombs of Amascut: Entry Mode","Novice Tomb Explorer","Complete the Tombs of Amascut in Entry mode (or above) once.","Kill Count","Hard (3 pts)","49.5%"
"Tombs of Amascut: Entry Mode","Confident Raider","Complete a Tombs of Amascut raid at level 100 or above.","Restriction","Hard (3 pts)","45.3%"
"Tombs of Amascut: Entry Mode","Novice Tomb Looter","Complete the Tombs of Amascut in Entry mode (or above) 25 times.","Kill Count","Hard (3 pts)","29.2%"
"Venenatis","Venenatis Adept","Kill Venenatis 10 times.","Kill Count","Hard (3 pts)","27.1%"
"Vet'ion","Vet'ion Adept","Kill Vet'ion 10 times.","Kill Count","Hard (3 pts)","34.9%"
"Wintertodt","Why Fletch?","Subdue the Wintertodt after earning 3000 or more points.","Stamina","Hard (3 pts)","39.8%"
"Zulrah","Zulrah Adept","Kill Zulrah 25 times.","Kill Count","Hard (3 pts)","38.9%"
"Abyssal Sire","Respiratory Runner","Kill the Abyssal Sire after only stunning him once.","Mechanical","Elite (4 pts)","28.8%"
"Abyssal Sire","Abyssal Veteran","Kill the Abyssal Sire 50 times.","Kill Count","Elite (4 pts)","28.8%"
"Abyssal Sire","Perfect Sire","Kill the Abyssal Sire without taking damage from the external tentacles, miasma pools, explosion or damage from the Abyssal Sire without praying the appropriate protection prayer.","Perfection","Elite (4 pts)","29.2%"
"Abyssal Sire","Demonic Rebound","Use the Vengeance spell to reflect the damage from the Abyssal Sire's explosion back to him.","Mechanical","Elite (4 pts)","18%"
"Alchemical Hydra","Alchemical Veteran","Kill the Alchemical Hydra 75 times.","Kill Count","Elite (4 pts)","24%"
"Amoxliatl","Without Ralos' Light","Kill Amoxliatl without losing any prayer points.","Restriction","Elite (4 pts)","23.1%"
"Amoxliatl","Amoxliatl Speed-Chaser","Kill Amoxliatl in less than 30 seconds.","Speed","Elite (4 pts)","7.6%"
"Araxxor","Araxxor Speed-Trialist","Kill Araxxor 4 times in 10:00.","Speed","Elite (4 pts)","24.8%"
"Araxxor","Araxxor Veteran","Kill Araxxor 25 times.","Kill Count","Elite (4 pts)","26.4%"
"Araxxor","Relaxxor","Kill Araxxor after destroying six eggs.","Restriction","Elite (4 pts)","16%"
"Basilisk Knight","Reflecting on This Encounter","Kill a Basilisk Knight.","Kill Count","Elite (4 pts)","43.2%"
"Brutus","Brutus Speed-Trialist","Kill Brutus in less than 2 seconds.","Speed","Elite (4 pts)","28.1%"
"Callisto","Callisto Veteran","Kill Callisto 20 times.","Kill Count","Elite (4 pts)","27.5%"
"Cerberus","Cerberus Veteran","Kill Cerberus 75 times.","Kill Count","Elite (4 pts)","29.3%"
"Cerberus","Unrequired Antifire","Kill Cerberus without taking damage from any lava pools.","Perfection","Elite (4 pts)","31.6%"
"Cerberus","Ghost Buster","Kill Cerberus after successfully negating 6 or more attacks from Summoned Souls.","Mechanical","Elite (4 pts)","28.4%"
"Cerberus","Anti-Bite Mechanics","Kill Cerberus without taking any melee damage.","Perfection","Elite (4 pts)","31.2%"
"Chambers of Xeric","Chambers of Xeric Veteran","Complete the Chambers of Xeric 25 times.","Kill Count","Elite (4 pts)","23%"
"Chambers of Xeric","Blizzard Dodger","Receive kill-credit for the Ice Demon without activating the Protect from Range prayer.","Restriction","Elite (4 pts)","20.3%"
"Chambers of Xeric","Shayzien Specialist","Receive kill-credit for a Lizardman Shaman without taking damage from any shamans in the room.","Perfection","Elite (4 pts)","21.6%"
"Chambers of Xeric","Mutta-diet","Kill the Muttadile without letting her or her baby recover hitpoints from the meat tree.","Mechanical","Elite (4 pts)","34.2%"
"Chambers of Xeric","Undying Raid Team","Complete a Chambers of Xeric raid without anyone dying.","Perfection","Elite (4 pts)","29.9%"
"Chambers of Xeric","Kill It with Fire","Finish off the Ice Demon with a fire spell.","Restriction","Elite (4 pts)","21.6%"
"Chambers of Xeric","Cryo No More","Receive kill-credit for the Ice Demon without taking any damage.","Perfection","Elite (4 pts)","23.8%"
"Chambers of Xeric","Redemption Enthusiast","Kill the Abyssal Portal without forcing Vespula to land.","Mechanical","Elite (4 pts)","23.9%"
"Chambers of Xeric","Dancing with Statues","Receive kill-credit for a Stone Guardian without taking damage from falling rocks.","Perfection","Elite (4 pts)","28.3%"
"Chambers of Xeric","Together We'll Fall","Kill the Vanguards within 10 seconds of the first one dying.","Mechanical","Elite (4 pts)","19.6%"
